ANO;Accuracy;AUC;KS Score;F1 score;Recall;Precision;False positive rate;True positive rate
2002;0,881578947;0,934848485;0,793939394;0,929133858;0,893939394;0,967213115;0,2;0,893939394
2003;0,708333333;0,814453125;0,5625;0,794117647;0,84375;0,75;0,5625;0,84375
2004;0,876923077;0,919047619;0,819047619;0,888888889;0,914285714;0,864864865;0,166666667;0,914285714
2005;0,546296296;0,676560454;0,366215626;0,47311828;0,75862069;0,34375;0,53164557;0,75862069
2006;0,791366906;0,883594282;0,725663717;0,632911392;0,961538462;0,471698113;0,247787611;0,961538462
2007;0,680473373;0,836675021;0,574770259;0,55;0,916666667;0,392857143;0,383458647;0,916666667
2008;0,730769231;0,868592731;0,670643057;0,588235294;0,945945946;0,426829268;0,324137931;0,945945946
2009;0,670498084;0,833916084;0,568365845;0,516853933;0,884615385;0,365079365;0,38277512;0,884615385
2010;0,637614679;0,806097431;0,487368084;0,558659218;0,847457627;0,416666667;0,440251572;0,847457627
2011;0,678431373;0,82295271;0,529411765;0,5;0,803921569;0,362831858;0,352941176;0,803921569
2012;0,743589744;0,840533778;0,62910759;0,593023256;0,927272727;0,435897436;0,302752294;0,927272727
2013;0,693661972;0,846502976;0,558333333;0,544502618;0,866666667;0,396946565;0,352678571;0,866666667
2014;0,689243028;0,841833966;0,559685296;0,566666667;0,894736842;0,414634146;0,371134021;0,894736842
2015;0,71314741;0,843554007;0,557142857;0,47826087;0,804878049;0,340206186;0,304761905;0,804878049
2016;0,775362319;0,854368932;0,689875173;0,626506024;0,742857143;0,541666667;0,213592233;0,742857143
2017;0,85988512;0,909140908;0,747789947;0,504857738;0,790331342;0,370889625;0,1332038;0,790331342
2018;0,86127715;0,91031194;0,751146452;0,470880361;0,748743719;0,343431017;0,128611971;0,748743719
2019;0,891799212;0,925277589;0,783445197;0,474672334;0,750279955;0,347150259;0,098337626;0,750279955
2020;0,906467388;0,934875344;0,800844387;0,486966377;0,755568581;0,359253066;0,084113859;0,755568581
2021;0,890213923;0,922664086;0,781065752;0,438619952;0,736086176;0,312380952;0,100249931;0,736086176
2022;0,899193037;0,934552689;0,814837311;0,44226274;0,760450161;0,311799604;0,093110368;0,760450161
