ANO;Accuracy;AUC;KS Score;F1 score;Recall;Precision;False positive rate;True positive rate
2002;0,881578947;0,917424242;0,739393939;0,929133858;0,893939394;0,967213115;0,2;0,893939394
2003;0,833333333;0,895507813;0,625;0,882352941;0,9375;0,833333333;0,375;0,9375
2004;0,815384615;0,92;0,70952381;0,833333333;0,857142857;0,810810811;0,233333333;0,857142857
2005;0,62037037;0,721300742;0,453513749;0,506024096;0,724137931;0,388888889;0,417721519;0,724137931
2006;0,741007194;0,828965283;0,699115044;0,538461538;0,807692308;0,403846154;0,274336283;0,807692308
2007;0,668639053;0,822368421;0,573725982;0,5;0,777777778;0,368421053;0,360902256;0,777777778
2008;0,725274725;0,81472507;0,621248835;0,545454545;0,810810811;0,410958904;0,296551724;0,810810811
2009;0,739463602;0,873711815;0,645748988;0,558441558;0,826923077;0,421568627;0,282296651;0,826923077
2010;0,69266055;0,83354653;0,524784138;0,608187135;0,881355932;0,464285714;0,377358491;0,881355932
2011;0,725490196;0,827085736;0,588235294;0,539473684;0,803921569;0,405940594;0,294117647;0,803921569
2012;0,736263736;0,847998332;0,615346122;0,571428571;0,872727273;0,424778761;0,298165138;0,872727273
2013;0,73943662;0,846837798;0,588690476;0,588888889;0,883333333;0,441666667;0,299107143;0,883333333
2014;0,721115538;0,863492494;0,629860734;0,578313253;0,842105263;0,440366972;0,31443299;0,842105263
2015;0,725099602;0,857084785;0,666085947;0,481203008;0,780487805;0,347826087;0,285714286;0,780487805
2016;0,81884058;0,884188627;0,748682386;0,683544304;0,771428571;0,613636364;0,165048544;0,771428571
2017;0,881633855;0,932313654;0,804340498;0,542417916;0,776208582;0,416861144;0,10789076;0,776208582
2018;0,882878618;0,928319242;0,796379157;0,507098381;0,730796841;0,388253242;0,103457172;0,730796841
2019;0,908288341;0,943148052;0,828875593;0,50647821;0,722284434;0,389963724;0,078748146;0,722284434
2020;0,916695365;0,949107713;0,833325756;0,516296741;0,756740914;0,391805766;0,07332065;0,756740914
2021;0,904859041;0,93637497;0,810218735;0,47412547;0,736086176;0,349680171;0,084698695;0,736086176
2022;0,914825299;0,950460843;0,847284876;0,483606557;0,758842444;0,354887218;0,076521739;0,758842444
