features;feature_importances
ln_filiais;49
ln_idade;21
ln_capsoc;4
ln_juros;3
ln_sociosage;3
ln_carencia;3
ln_amortizacao;3
ln_vlrcontrato;2
ln_vlrdesembolso;2
spl_contrato_3_1;1
spl_contrato_2_0;1
ln_qtdsocios;0,870902754
spl_contrato_2_2;0,708214029
ln_contratos;0,605954661
spl_contrato_2_3;0,589038366
spl_contrato_3_0;0,572910043
spl_contrato_3_2;0,563066402
spl_contrato_2_4;0,537213765
TESOURO;0,500418192
spl_contrato_3_5;0,486308454
INDIRETA;0,481928565
spl_contrato_2_1;0,478815938
spl_contrato_4_2;0,468294038
spl_contrato_4_3;0,458529836
spl_contrato_4_5;0,39209797
spl_contrato_4_1;0,304242872
spl_contrato_4_4;0,239409831
spl_contrato_2_5;0,199362093
spl_contrato_4_0;0,155183348
spl_contrato_3_4;0,068595107
spl_contrato_3_3;0,04616131
INOVACAO;0,010853994
EMPRESA_PUBLICA;0,006832283
spl_contrato_3_6;0
spl_contrato_2_6;0
SOCIO_PJ;0
spl_contrato_4_6;0
