Data;27450 - Spread do ICC - Recursos direcionados - Pessoas jurídicas - Total - p.p.;27451 - Spread do ICC - Recursos direcionados - Pessoas físicas - Total - p.p.
01/2013;3,33 ;3,48
02/2013;3,30 ;3,47
03/2013;3,22 ;3,45
04/2013;3,16 ;3,44
05/2013;3,08 ;3,42
06/2013;3,02 ;3,39
07/2013;2,98 ;3,36
08/2013;2,93 ;3,32
09/2013;2,88 ;3,29
10/2013;2,84 ;3,23
11/2013;2,80 ;3,20
12/2013;2,75 ;3,17
01/2014;2,72 ;3,15
02/2014;2,72 ;3,15
03/2014;2,69 ;3,14
04/2014;2,67 ;3,16
05/2014;2,66 ;3,16
06/2014;2,66 ;3,16
07/2014;2,65 ;3,16
08/2014;2,65 ;3,16
09/2014;2,64 ;3,14
10/2014;2,63 ;3,14
11/2014;2,62 ;3,13
12/2014;2,59 ;3,11
01/2015;2,59 ;3,11
02/2015;2,59 ;3,11
03/2015;2,59 ;3,11
04/2015;2,59 ;3,11
05/2015;2,60 ;3,12
06/2015;2,59 ;3,12
07/2015;2,61 ;3,16
08/2015;2,62 ;3,20
09/2015;2,64 ;3,24
10/2015;2,65 ;3,26
11/2015;2,66 ;3,30
12/2015;2,67 ;3,32
01/2016;2,68 ;3,33
02/2016;2,69 ;3,35
03/2016;2,72 ;3,36
04/2016;2,73 ;3,38
05/2016;2,74 ;3,40
06/2016;2,77 ;3,43
07/2016;2,78 ;3,43
08/2016;2,81 ;3,44
09/2016;2,84 ;3,46
10/2016;2,87 ;3,47
11/2016;2,88 ;3,48
12/2016;2,91 ;3,50
01/2017;2,93 ;3,50
02/2017;2,94 ;3,51
03/2017;2,95 ;3,53
04/2017;2,96 ;3,54
05/2017;2,97 ;3,56
06/2017;2,99 ;3,58
07/2017;3,02 ;3,58
08/2017;3,02 ;3,59
09/2017;2,98 ;3,58
10/2017;2,98 ;3,59
11/2017;2,99 ;3,60
12/2017;3,02 ;3,61
01/2018;3,03 ;3,61
02/2018;3,04 ;3,61
03/2018;3,04 ;3,62
04/2018;3,04 ;3,64
05/2018;3,05 ;3,66
06/2018;3,05 ;3,68
07/2018;3,06 ;3,68
08/2018;3,03 ;3,68
09/2018;3,05 ;3,71
10/2018;3,06 ;3,71
11/2018;3,05 ;3,73
12/2018;3,06 ;3,74
01/2019;3,04 ;3,75
02/2019;3,04 ;3,75
03/2019;3,04 ;3,76
04/2019;3,03 ;3,77
05/2019;3,03 ;3,79
06/2019;3,03 ;3,81
07/2019;3,03 ;3,82
08/2019;3,02 ;3,86
09/2019;3,01 ;3,88
10/2019;3,01 ;3,90
11/2019;3,00 ;3,91
12/2019;2,99 ;3,94
01/2020;2,99 ;3,95
02/2020;2,98 ;3,96
03/2020;2,99 ;3,97
04/2020;2,99 ;3,99
05/2020;3,03 ;4,00
06/2020;3,03 ;4,02
07/2020;3,02 ;4,03
08/2020;3,00 ;4,04
09/2020;2,95 ;4,05
10/2020;2,94 ;4,06
11/2020;2,93 ;4,09
12/2020;2,96 ;4,11
01/2021;2,95 ;4,13
02/2021;2,95 ;4,13
03/2021;2,95 ;4,14
04/2021;2,94 ;4,13
05/2021;2,94 ;4,12
06/2021;2,93 ;4,11
07/2021;2,96 ;4,10
08/2021;2,97 ;4,08
09/2021;2,96 ;4,08
10/2021;2,96 ;4,07
11/2021;2,97 ;4,06
12/2021;2,97 ;4,05
01/2022;2,96 ;4,03
02/2022;2,97 ;4,04
03/2022;2,98 ;4,03
04/2022;3,00 ;4,06
05/2022;3,00 ;4,08
06/2022;3,00 ;4,10
07/2022;3,08 ;4,11
08/2022;3,13 ;4,11
09/2022;3,20 ;4,13
10/2022;3,21 ;4,13
11/2022;3,26 ;4,21
12/2022;3,28 ;4,25
01/2023;3,30 ;4,27
02/2023;3,31 ;4,26
03/2023;3,34 ;4,29
04/2023;3,35 ;4,31
Fonte;BCB-DSTAT;BCB-DSTAT
