"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Parashat Vayeilech","10/5/2019",,,,"true","","3","Torah Reading"
"Parashat Ha’azinu","10/12/2019",,,,"true","","3","Torah Reading"
"Parashat Bereshit","10/26/2019",,,,"true","","3","Torah Reading"
"Parashat Noach","11/2/2019",,,,"true","","3","Torah Reading"
"Parashat Lech-Lecha","11/9/2019",,,,"true","","3","Torah Reading"
"Parashat Vayera","11/16/2019",,,,"true","","3","Torah Reading"
"Parashat Chayei Sara","11/23/2019",,,,"true","","3","Torah Reading"
"Parashat Toldot","11/30/2019",,,,"true","","3","Torah Reading"
"Parashat Vayetzei","12/7/2019",,,,"true","","3","Torah Reading"
"Parashat Vayishlach","12/14/2019",,,,"true","","3","Torah Reading"
"Parashat Vayeshev","12/21/2019",,,,"true","","3","Torah Reading"
"Parashat Miketz","12/28/2019",,,,"true","","3","Torah Reading"
"Parashat Vayigash","1/4/2020",,,,"true","","3","Torah Reading"
"Parashat Vayechi","1/11/2020",,,,"true","","3","Torah Reading"
"Parashat Shemot","1/18/2020",,,,"true","","3","Torah Reading"
"Parashat Vaera","1/25/2020",,,,"true","","3","Torah Reading"
"Parashat Bo","2/1/2020",,,,"true","","3","Torah Reading"
"Parashat Beshalach","2/8/2020",,,,"true","","3","Torah Reading"
"Parashat Yitro","2/15/2020",,,,"true","","3","Torah Reading"
"Parashat Mishpatim","2/22/2020",,,,"true","","3","Torah Reading"
"Parashat Terumah","2/29/2020",,,,"true","","3","Torah Reading"
"Parashat Tetzaveh","3/7/2020",,,,"true","","3","Torah Reading"
"Parashat Ki Tisa","3/14/2020",,,,"true","","3","Torah Reading"
"Parashat Vayakhel-Pekudei","3/21/2020",,,,"true","","3","Torah Reading"
"Parashat Vayikra","3/28/2020",,,,"true","","3","Torah Reading"
"Parashat Tzav","4/4/2020",,,,"true","","3","Torah Reading"
"Parashat Shmini","4/18/2020",,,,"true","","3","Torah Reading"
"Parashat Tazria-Metzora","4/25/2020",,,,"true","","3","Torah Reading"
"Parashat Achrei Mot-Kedoshim","5/2/2020",,,,"true","","3","Torah Reading"
"Parashat Emor","5/9/2020",,,,"true","","3","Torah Reading"
"Parashat Behar-Bechukotai","5/16/2020",,,,"true","","3","Torah Reading"
"Parashat Bamidbar","5/23/2020",,,,"true","","3","Torah Reading"
"Parashat Nasso","5/30/2020",,,,"true","","3","Torah Reading"
"Parashat Beha’alotcha","6/6/2020",,,,"true","","3","Torah Reading"
"Parashat Sh’lach","6/13/2020",,,,"true","","3","Torah Reading"
"Parashat Korach","6/20/2020",,,,"true","","3","Torah Reading"
"Parashat Chukat","6/27/2020",,,,"true","","3","Torah Reading"
"Parashat Balak","7/4/2020",,,,"true","","3","Torah Reading"
"Parashat Pinchas","7/11/2020",,,,"true","","3","Torah Reading"
"Parashat Matot-Masei","7/18/2020",,,,"true","","3","Torah Reading"
"Parashat Devarim","7/25/2020",,,,"true","","3","Torah Reading"
"Parashat Vaetchanan","8/1/2020",,,,"true","","3","Torah Reading"
"Parashat Eikev","8/8/2020",,,,"true","","3","Torah Reading"
"Parashat Re’eh","8/15/2020",,,,"true","","3","Torah Reading"
"Parashat Shoftim","8/22/2020",,,,"true","","3","Torah Reading"
"Parashat Ki Teitzei","8/29/2020",,,,"true","","3","Torah Reading"
"Parashat Ki Tavo","9/5/2020",,,,"true","","3","Torah Reading"
"Parashat Nitzavim-Vayeilech","9/12/2020",,,,"true","","3","Torah Reading"
