ESTBAN (Documento 4500) por municipio 
Data de geracao dos dados: 2024-05-02
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202402;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;331381;331381;0;0;0;0;-11165647;0;0;-11165647;28270889;19763137;38770;5793626;0;4178667;101032;0;-1604342;0;0;0;0;0;17436623;2482001;11451360;1576614;0;1576614;0;68807;0;68807;0;0;0;30207;30208;1207843;0;619790;818300;-198509;17436623;1200344
202402;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;602057;602057;0;0;0;0;-7301262;196825;399900;-7897987;17598387;15430219;132957;1714670;0;1332594;0;0;-1012054;0;0;0;0;0;10899181;699581;6500494;1717328;0;1717328;0;30407;0;30407;0;0;0;9189;9189;1611216;0;330967;540995;-210028;10899181;1200054
202402;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1954032;1954032;0;0;0;0;-35807498;102956;0;-35910454;62452832;42775130;0;956407;0;20695335;130360;0;-2104400;0;0;0;0;0;28599366;2846187;17432924;1854269;0;1854269;0;84571;450;84121;0;0;0;19848;19849;5045602;0;1315964;1677608;-361644;28599366;1200302
202402;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;309951;309951;0;0;0;0;0;0;0;0;13336418;4471117;87467;8762680;0;0;0;15154;0;0;0;0;0;0;13646369;5030579;6449148;472824;0;472824;0;1430362;0;1430362;0;0;0;186;186;46462;0;216810;322612;-105802;13646369;1200302
202402;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;531630;531630;0;0;0;0;6182;0;0;6182;48580477;6084524;4767852;37720231;0;0;0;7870;0;0;0;0;0;0;49118289;9453077;6110928;188615;0;188615;0;32675751;0;32675751;0;0;0;972;972;13105;0;675841;757861;-82020;49118289;1200708
202402;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;3624808;3624808;0;0;0;745181;594742;34993;559749;0;294577189;130229488;3252410;144192755;7;2059925;0;14842605;0;0;0;0;28452;0;299570372;17457324;29592188;8314346;0;8314346;0;234785381;0;234785381;0;0;0;137093;137094;1680701;0;7603338;8520844;-917506;299570372;1200609
202402;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1870964;1870964;0;0;0;0;-49306888;55144;0;-49362032;98141719;68497905;0;3468256;0;29416210;892050;0;-4132701;0;0;0;0;0;50705795;6510380;25553527;6078056;0;6078056;0;189789;600;189189;0;0;0;23074;23074;10493246;0;1857723;2589223;-731500;50705795;1200609
202402;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;266855;266855;0;0;0;0;358;0;0;358;26188455;5126139;751228;20231480;0;0;0;79608;0;0;0;0;0;0;26455669;2770404;6974973;114426;0;114426;0;16257569;0;16257569;0;0;0;5;5;19350;0;318941;424267;-105326;26455669;1200609
202402;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;2833036;2833036;0;0;0;0;869870;17261;852608;0;200560130;65616296;468178;124559540;0;1307383;0;8608734;0;0;0;0;14258;0;204277294;8701249;19988197;18262632;0;18262632;0;151932583;0;151932583;0;0;3;193415;193415;937142;0;4262074;5029557;-767483;204277294;1200500
202402;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1737908;1737908;0;0;0;0;-44937413;100779;0;-45038192;110005033;41824409;1863129;35855481;0;34205668;188545;0;-3932199;0;0;0;1359679;0;68165207;6256779;41041064;7506063;0;7506063;0;163139;150;162989;0;0;0;33708;33708;11537469;0;1626985;2906525;-1279540;68165207;1200500
202402;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;117841;117841;0;0;0;0;0;0;0;0;24024586;10159749;5286724;8421011;0;0;0;157102;0;0;0;0;0;0;24142427;7828734;12165610;57783;0;57783;0;3648063;0;3648063;0;0;0;260;260;18171;0;423807;576611;-152804;24142427;1200500
202402;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;1010311;1010311;0;0;0;0;338335;14116;324218;0;123169829;37227642;1048192;80243122;0;399292;0;4251582;0;0;0;0;11381;0;124529856;5296671;11373863;3579761;0;3579761;0;100875559;0;100875559;0;0;0;29795;29795;879040;0;2495166;2815349;-320183;124529856;1200385
