CD_MUN,NM_MUN,Pessoas_afetadas,Domicilios_afetados,Pessoas_%,Domicilios_%,Pessoas_2022,Domicilios_2022,Vias_Diretamente_Afetadas_m,Vias_Diretamente_Afetadas_km,Area_Municpio_m2,Area_Urbana_m2,Area_NaoUrbana_m2,Area_Diretamente_Afetada_Municipio_m2,Area_Diretamente_Afetada_Municipio_%,Area_Diretamente_Afetada_Urbana_m2,Area_Diretamente_Afetada_Urbana_%,Estruturas_Afetadas_nro,Area_Construida_Afetada_m2,Domicilios_Particulares_Afetados_Diretamente,Domicilios_Coletivos_Afetados_Diretamente,Estabelecim_Agropecuario_Afetados_Diretamente,Estabelecim_Ensino_Afetados_Diretamente,Estabelecim_Saude_Afetados_Diretamente,Edificacao_Construcao_Afetados_Diretamente,Estabelecim_Religiosos_Afetados_Diretamente
"4304606",Canoas,"154002","65915",44.3,42.4,"347657","155478",409744,409.7,130788356,67140998,63647358,63567811,48.6,26472430,39.43,89427,13185131,63.788,"30","15","103","52",1.346,"282"
"4314902",Porto Alegre,"151141","85368",11.3,12.4,"1332845","687679",518982,519,495390124,175490228,319899896,123581052,24.95,37187487,21.19,84523,17337216,91.915,"185","11","231","262",1.166,"298"
"4318705",São Leopoldo,"83965","38349",38.6,39,"217409","98238",269142,269.1,103008759,41890859,61117900,36577550,35.51,12834084,30.64,44298,6184422328,34.4,"10","11","45","74",557,"181"
"4306767",Eldorado do Sul,"31761","13251",80.3,70.5,"39559","18785",152201,152.2,509614107,7865620,501748487,157411019,30.89,6793142,86.36,22462,2901760537,13.385,"6","82","37","21",307,"53"
"4309308",Guaíba,"20979","9109",22.6,22.2,"92924","41073",62836,62.8,376166071,18648527,357517544,19318255,5.14,2892816,15.51,11077,1638920641,8.869,"0","8","10","11",86,"42"
"4316808",Santa Cruz do Sul,"20229","9354",15.2,15.3,"133230","61255",102685,102.7,733896803,33800032,700096771,41842660,5.7,5611518,16.6,17424,3637878334,12.534,"20","14","17","24",155,"51"
"4311403",Lajeado,"20002","10580",21.4,23.7,"93646","44610",127416,127.4,91230930,24756994,66473936,13945774,15.29,6410941,25.9,14633,3655933235,13.508,"19","11","34","70",273,"35"
"4313409",Novo Hamburgo,"18582","7368",8.2,6.9,"227646","106318",51022,51,222535944,46205015,176330929,13981676,6.28,2223344,4.81,8639,1084705044,5.547,"0","1","8","1",94,"54"
"4307807",Estrela,"14958","6680",46.5,46,"32183","14528",100444,100.4,185026277,8306585,176719692,22621924,12.23,4664195,56.15,13236,2185496,8.329,"6","49","29","37",147,"50"
"4312401",Montenegro,"9261","3976",14.4,14,"64322","28488",34551,34.6,425025610,14073248,410952362,32610199,7.67,1762756,12.53,5149,6362050175,2.663,"3","3","5","9",77,"13"
"4301008",Arroio do Meio,"7311","3374",33.3,34.5,"21958","9791",86270,86.3,157087385,5499538,151587847,44673561,28.44,2350300,42.74,8792,1459341397,4.09,"10","211","14","29",126,"19"
"4306809",Encantado,"6223","2789",27.1,27,"22962","10323",49217,49.2,140006140,5581033,134425107,8691552,6.21,2335089,41.84,6535,1198151327,3.972,"6","28","23","19",78,"16"
"4320008",Sapucaia do Sul,"5769","2302",4.4,4,"132107","57410",13475,13.5,58246757,22653059,35593698,5535905,9.5,98654,4.35,1049,1598623297,395,"0","0","0","0",24,"3"
"4315701",Rio Pardo,"5529","3245",16,17.9,"34654","18118",32716,32.7,2051111408,6321611,2044789797,306425154,14.94,512232,8.1,1830,126586984,1.188,"0","13","1","0",18,"3"
"4322004",Triunfo,"5503","2631",20,19.8,"27498","13318",47170,47.2,817623096,11092672,806530424,194807163,23.83,1099855,9.92,4012,3540499917,1.624,"4","149","2","0",43,"21"
"4307708",Esteio,"5453","2273",7.2,6.9,"76137","33170",49760,49.8,27676437,14807738,12868699,13334857,48.18,2705095,18.27,2290,7554998797,1.052,"0","0","2","0",14,"3"
"4300604",Alvorada,"5079","2143",2.7,2.7,"187315","79779",5658,5.7,71700502,28252838,43447664,14463141,20.17,19253,0.68,321,4441136527,167,"0","0","0","0",3,"1"
"4313375",Nova Santa Rita,"4617","1959",15.9,16,"29024","12256",19090,19.1,218153345,7723256,210430089,111678267,51.19,793362,10.27,2099,382176411,665,"0","41","2","1",26,"6"
"4303004",Cachoeira do Sul,"4431","2304",5.5,5.9,"80070","39091",42064,42.1,3736064332,16775833,3719288499,479796227,12.84,257562,1.54,2053,1814598721,1.03,"1","36","2","0",20,"6"
"4309407",Guaporé,"4238","1737",16.8,15.6,"25268","11124",24525,24.5,297544207,6611446,290932761,5049625,1.7,1127358,17.05,2873,6906254854,2.174,"3","8","5","8",34,"9"
"4319505",São Sebastião do Caí,"4040","1895",16.5,16.5,"24428","11515",19285,19.3,114293178,6097619,108195559,6110002,5.35,787845,12.92,1796,3164361198,972,"0","12","7","3",22,"2"
"4315800",Roca Sales,"3732","1692",35.8,34.8,"10418","4860",22544,22.5,208108493,1621331,206487162,9697812,4.66,925534,57.08,3586,587030315,2.08,"1","51","6","8",25,"13"
