codigo,pib_0,pib_1,pib_2,pib_3,pib_4,pib_5,pib_6,pib_7,pib_8,pib_9,pib_10,pib_11,pib_12,pib_13,pib_14,pib_15,pib_16
1100015,477782.744,421299.976,377799.0,341324.694,329029.479,280509.583,262076.878,305787.952,302620.469,233494.237,190504.69,186967.087,174996.67,155300.235,130457.548,108232.805,98023.0
1100023,2183383.199,2037798.613,1921531.616,1799852.506,1703641.937,1651885.023,1364693.78,1041016.954,1015962.292,839784.027,735439.912,700914.832,638673.997,535157.496,453783.352,399804.517,381793.394
1100031,133345.391,116565.18,113477.403,96364.539,99586.481,77217.187,69611.114,104587.877,85718.948,75600.158,68803.571,77121.892,60879.238,50497.439,40770.269,35167.545,33496.365
1100049,1944786.644,1794477.511,1660649.611,1433253.506,1372705.085,1259024.293,1186494.091,908920.362,932122.389,804537.598,730470.486,751180.954,625987.826,626540.883,490165.208,407174.633,385936.472
1100056,408047.843,397736.132,392416.835,353269.678,357332.997,260142.097,222021.189,237950.838,200670.062,166546.381,148987.48,146865.759,142651.282,114612.045,95892.359,84919.906,89764.601
1100064,305876.204,285372.108,273758.581,242767.242,222070.659,206425.239,193092.596,212200.949,184106.028,162945.971,144414.455,138711.53,124994.203,106476.154,96320.521,85878.204,83490.316
1100072,236578.24,190905.813,186867.974,168680.59,175872.461,145412.051,114768.272,192822.294,138367.635,106535.648,97942.975,101369.71,93767.684,70628.186,58641.462,48728.571,40045.64
1100080,206123.176,187170.1,168604.501,149738.834,134090.802,120017.962,107583.052,120084.64,103993.0,83192.174,70784.705,63321.438,55590.197,48788.59,37885.303,30012.002,24507.469
1100098,544663.663,483961.516,462389.413,426546.223,376177.438,347581.092,311787.835,319670.909,299734.349,247786.092,213301.169,214883.038,195449.614,185695.39,149447.99,117711.503,111948.112
1100106,740159.669,682458.041,646153.632,605130.828,516171.502,715386.129,598167.052,489996.212,547282.66,407908.536,340744.844,347525.979,330751.138,262666.909,193887.938,154042.884,136124.772
1100114,1311875.431,1207965.067,1130660.481,1070429.404,1004963.787,861622.742,797296.433,650282.288,656070.493,590373.119,511256.374,552401.284,443144.692,391891.8,334115.852,277010.176,253156.901
1100122,2991592.247,2755754.754,2651245.67,2374800.645,2318728.506,2056220.403,1855358.695,1401633.253,1373756.383,1143910.631,989794.136,1000629.331,861671.875,741374.919,624322.101,537956.953,512578.075
1100130,512539.52,451940.031,424790.454,396658.412,353071.01,301792.386,272200.914,303829.484,299082.11,219998.432,195002.273,198530.43,174106.153,137938.016,92538.344,68997.573,66506.014
1100148,307693.488,272574.341,257254.902,230676.443,215981.695,188992.158,173651.29,163267.486,180776.13,154176.5,115179.778,115956.448,99201.762,98788.149,76847.132,69179.663,70525.061
1100155,708914.751,633049.693,600734.391,556443.374,527990.17,507789.654,477501.323,406869.77,380140.713,337465.779,304604.08,305507.132,274435.905,252958.239,207166.799,179618.264,181023.526
1100189,1001086.483,906442.522,837925.253,755541.769,687732.44,602732.177,540861.562,513645.066,424911.374,328919.99,298677.63,305719.457,260480.096,221882.629,184053.311,156831.196,143166.236
1100205,14741744.12,13970352.418,12793025.963,11699706.954,11970876.725,11139254.989,9093823.824,6606568.141,5066906.445,4361065.512,3780707.371,3700676.677,3136544.888,2667654.209,2143974.122,1772269.135,1469893.044
1100254,388233.189,359302.39,334712.557,292636.243,278269.271,250510.056,235588.861,245864.277,219707.887,186948.868,168048.92,161713.982,148606.679,131935.68,111389.792,100177.789,101784.573
1100262,90544.315,78522.105,74697.937,63731.949,56105.826,48229.775,41934.024,89961.665,56089.646,41832.191,36610.893,33050.807,28428.531,26665.888,20891.547,17155.287,15428.121
1100288,1201504.149,1082400.078,1024962.259,926089.42,845500.025,756304.95,627848.22,520171.948,542875.94,455312.079,409572.056,398569.288,315131.288,288101.61,248761.877,216757.749,208768.591
1100296,149203.059,135948.517,132905.898,125661.672,122449.039,109366.229,98818.321,114678.678,110155.301,91047.75,82227.838,77477.936,72925.423,68242.669,55522.146,47427.557,43420.016
1100304,2420744.911,2185474.676,2124668.433,2011515.1,1797975.678,1491477.332,1447187.301,1187863.684,1114699.142,923329.519,773623.048,782927.01,705182.55,589577.625,457046.364,444710.975,427561.387
1100320,514511.507,454047.628,411122.006,395408.399,333932.571,311270.989,324475.914,283647.307,228143.354,194876.358,163029.65,160679.326,149861.454,125287.277,91129.97,82735.244,79609.87
1100338,419494.207,379823.95,341402.257,308322.275,277775.018,249369.46,218431.236,226468.51,195570.282,161037.721,136955.824,124703.152,101689.143,77775.196,60177.116,46705.072,40289.149
1100346,243560.137,220490.937,205518.238,191137.603,184426.563,174574.308,160688.809,159432.087,149718.093,133188.252,127610.37,123664.28,118217.131,103831.973,81386.715,67719.004,68021.972
1100379,230030.105,212356.952,211213.586,183210.196,207365.399,135691.248,119974.008,160810.819,142176.18,113112.358,93272.642,90262.042,81366.695,69506.778,55478.763,47923.353,39891.149
1100403,287085.47,258221.922,233005.906,214063.922,205906.35,176663.981,152235.166,179122.719,163474.223,133347.862,107688.164,104309.781,91931.734,82999.515,56761.827,50116.359,43144.397
1100452,581510.141,519512.808,475960.974,427488.494,403805.121,380851.646,336264.863,326377.445,303120.279,251244.408,213251.444,200297.418,176960.032,142973.085,95535.74,75132.752,60342.218
1100502,150298.002,134272.528,127667.516,113699.914,104873.277,100845.886,95420.086,113299.531,105427.24,85963.054,79405.278,85616.434,77632.631,74785.926,57986.832,42813.799,38449.305
1100601,133966.477,125343.674,116988.325,99010.564,90741.593,84262.305,76700.806,102535.191,94530.542,76654.627,62428.359,60251.373,55409.727,51263.823,39251.663,33012.158,28956.909
1100700,221023.822,223211.477,203986.915,181407.932,156228.294,150582.287,120440.101,132700.15,116423.012,86377.906,75744.627,73521.326,67320.74,54433.796,41075.874,32444.057,27682.464
1100809,399718.623,399265.924,317451.374,280360.114,267392.936,253982.363,228321.486,231935.86,185031.872,174766.566,194635.75,126136.232,122390.568,88016.73,74611.954,55053.83,46638.464
1100908,68669.773,66528.807,59749.93,53263.05,46867.672,44579.214,39936.323,53639.788,52670.839,43482.903,41044.476,43516.333,34970.995,30864.484,25183.211,20494.354,17637.414
1100924,275042.583,235664.129,228352.576,225345.46,238955.405,179981.082,165716.351,184107.761,163804.862,118809.673,103430.664,95774.879,90011.993,69639.385,49891.017,40242.693,33614.517
1100940,315311.666,288030.876,265664.48,249222.686,221003.124,218790.082,210217.76,193676.238,130151.847,94168.572,72580.293,63509.947,54372.447,45959.398,37014.583,28833.95,23611.726
1101005,163371.345,154876.235,145565.92,140140.295,118735.101,112253.058,111130.032,123577.34,113950.271,107550.568,100078.286,99058.112,89379.034,77423.63,56273.916,44954.459,39660.183
1101104,153873.592,143839.71,133035.858,139589.263,128141.462,117104.197,90690.484,84788.694,80281.932,71645.908,69197.898,54961.069,50572.504,45114.136,37827.807,30411.893,24414.569
1101203,189586.209,170866.282,167762.14,146640.535,124806.766,116880.642,99692.423,96872.802,105843.717,79549.548,66430.156,68275.344,63971.464,63192.658,48382.165,44934.174,38185.263
1101302,192227.815,178006.66,162908.194,134517.238,130631.854,119478.068,114868.695,120018.397,112566.239,98738.572,88915.789,85252.174,77938.846,73905.308,54684.298,46601.752,44805.793
1101401,242415.752,229497.106,218407.045,205600.209,181389.993,176274.175,143416.702,145346.282,135820.534,112614.808,105348.752,94335.48,90568.946,73791.681,58827.559,49220.472,41995.797
1101435,106761.221,103159.845,93874.597,86791.929,85013.593,76049.731,70738.614,69917.753,66532.564,63139.369,59532.841,54884.528,50920.765,48500.221,37317.16,27871.81,29739.609
1101450,91382.645,84439.281,78818.91,71096.927,61507.588,56026.599,49986.237,83718.302,56453.501,45496.409,37142.287,32166.469,29405.402,26166.114,19624.347,16006.477,15304.558
1101468,89280.156,79777.129,76783.435,77663.994,80774.718,53249.519,43812.047,68970.064,59372.232,46614.455,40015.097,37187.822,33426.956,30222.357,18788.267,16083.393,15983.575
1101476,58674.613,53385.878,52854.154,47727.065,43789.905,38302.139,35105.453,45556.503,41071.476,33837.647,29372.376,27949.833,29485.285,29094.034,22916.273,19262.937,18572.012
1101484,84807.934,78389.499,73855.789,70826.498,67923.358,61616.164,58726.974,71727.098,69879.442,60843.893,56293.531,50471.0,45412.562,38493.717,29018.148,23940.743,23182.276
1101492,318922.853,293297.342,266619.066,245948.274,223068.741,200905.903,173609.634,204614.709,177032.181,136621.191,118517.048,108300.272,99053.564,78148.787,57505.728,40686.83,33546.496
1101500,200089.388,180367.255,166738.18,157939.064,141929.816,134332.858,117280.833,130276.216,120677.996,102012.79,90891.003,88314.709,83993.968,76596.41,49765.955,35794.509,34921.747
1101559,82689.017,79343.729,72074.321,67680.81,63277.173,56622.725,50001.145,54473.657,50934.673,45664.344,41214.844,40824.398,38660.313,35345.582,28654.605,22206.845,22298.619
1101609,169743.397,153737.152,137146.777,128042.287,125795.797,104327.627,105535.46,128048.731,122572.639,98024.772,89949.54,86922.98,78159.262,72916.418,54956.4,44366.242,36488.863
1101708,196560.319,183099.658,171461.444,150562.543,128811.28,129844.699,121359.369,119754.748,112245.512,101000.605,93428.039,96154.725,85739.974,75999.284,59869.444,44653.604,44965.946
1101757,133099.552,118306.299,106053.746,99751.056,105600.317,89772.235,91480.288,114100.288,97326.323,83474.753,69948.234,71414.152,59367.501,47797.186,31776.603,23713.677,21212.71
1101807,130455.891,124700.446,117705.55,108133.91,95926.522,92335.682,89262.956,89003.985,99245.926,86163.009,73389.364,73309.317,68630.272,67398.807,44324.719,35105.195,34028.449
1200013,227610.899,212961.188,207821.757,214652.031,162198.825,142760.793,121914.728,151161.146,146133.081,146110.434,121402.432,114493.273,97261.857,68506.731,48736.967,42683.576,27484.216
1200054,83276.6,77234.378,73332.349,64601.577,52805.468,46580.849,42017.446,48368.735,54411.595,40441.061,33336.88,30328.343,23307.887,17491.505,14589.546,12085.403,10902.121
1200104,406691.059,388113.503,340917.293,294874.249,238704.357,203478.794,190698.905,195057.386,174844.493,155457.901,129055.559,117727.788,107058.133,101625.855,87574.792,68665.067,73824.395
